,year,country,Surface area (sq. km),Livestock production index (2004-2006 = 100),index,country_code,code
221,2017,Cyprus,9250.0,,2036,A,CYP
222,2017,Czech Republic,78870.0,,2039,A,CZE
223,2017,Denmark,42920.0,,2044,A,DNK
224,2017,Dominican Republic,48670.0,,2047,A,DOM
225,2017,Ecuador,256370.0,,2050,A,ECU
226,2017,El Salvador,21040.0,,2055,A,SLV
227,2017,Estonia,45340.0,,2058,A,EST
228,2017,Ethiopia,1104300.0,,2061,A,ETH
229,2017,Finland,338450.0,,2064,A,FIN
230,2017,France,549086.9922,,2067,A,FRA
231,2017,Gabon,267670.0,,2069,A,GAB
232,2017,Georgia,69700.0,,2072,A,GEO
233,2017,Germany,357580.0,,2075,A,DEU
234,2017,Ghana,238540.0,,2077,A,GHA
235,2017,Greece,131960.0,,2080,A,GRC
236,2017,Guatemala,108890.0,,2083,A,GTM
237,2017,Guinea,245860.0,,2085,A,GIN
238,2017,Haiti,27750.0,,2088,A,HTI
239,2017,Honduras,112490.0,,2091,A,HND
240,2017,Hungary,93030.0,,2097,A,HUN
241,2017,India,3287259.063,,2100,A,IND
242,2017,Indonesia,1913580.0,,2103,A,IDN
243,2017,Iraq,435051.9922,,2109,A,IRQ
244,2017,Ireland,70280.0,,2112,A,IRL
245,2017,Israel,22070.0,,2178,A,ISR
246,2017,Italy,301340.0,,2181,A,ITA
247,2017,Japan,377970.0,,2186,A,JPN
248,2017,Jordan,89320.0,,2189,A,JOR
249,2017,Kazakhstan,2724901.875,,2192,A,KAZ
250,2017,Kenya,580370.0,,2194,A,KEN
251,2017,Kosovo,10887.0,,2200,A,KSV
252,2017,Kuwait,17820.0,,2203,A,KWT
253,2017,Latvia,64490.0,,2211,A,LVA
254,2017,Lebanon,10450.0,,2214,A,LBN
255,2017,Lesotho,30360.0,,2215,A,LSO
256,2017,Liberia,111370.0,,2216,A,LBR
257,2017,Libya,1759540.0,,2217,A,LBY
258,2017,Lithuania,65286.00098,,2220,A,LTU
259,2017,Luxembourg,2590.0,,2223,A,LUX
260,2017,Madagascar,587295.0,,2228,A,MDG
261,2017,Malawi,118480.0,,2230,A,MWI
262,2017,Malaysia,330345.0,,2233,A,MYS
263,2017,Mali,1240190.0,,2235,A,MLI
264,2017,Malta,320.0,,2238,A,MLT
265,2017,Mauritania,1030700.0,,2240,A,MRT
266,2017,Mauritius,2040.0,,2242,A,MUS
267,2017,Mexico,1964375.0,,2245,A,MEX
268,2017,Moldova,33850.0,,2311,A,MDA
269,2017,Mongolia,1564120.0,,2314,A,MNG
270,2017,Montenegro,13810.0,,2317,A,MNE
271,2017,Morocco,446550.0,,2318,A,MAR
272,2017,Mozambique,786380.0,,2319,A,MOZ
273,2017,Namibia,824290.0,,2323,A,NAM
274,2017,Nepal,147180.0,,2326,A,NPL
275,2017,Netherlands,41540.0,,2329,A,NLD
276,2017,New Zealand,267710.0,,2332,A,NZL
277,2017,Nicaragua,130370.0,,2335,A,NIC
278,2017,Niger,1267000.0,,2337,A,NER
279,2017,Nigeria,923770.0,,2339,A,NGA
280,2017,Norway,625217.1094,,2341,A,NOR
281,2017,Pakistan,796100.0,,2345,A,PAK
282,2017,Panama,75420.0,,2348,A,PAN
283,2017,Paraguay,406751.9922,,2350,A,PRY
284,2017,Peru,1285220.0,,2353,A,PER
285,2017,Philippines,300000.0,,2356,A,PHL
286,2017,Poland,312680.0,,2359,A,POL
287,2017,Portugal,92225.5957,,2362,A,PRT
288,2017,Romania,238400.0,,2367,A,ROU
289,2017,Rwanda,26340.0,,2372,A,RWA
290,2017,Saudi Arabia,2149690.0,,2375,A,SAU
291,2017,Senegal,196710.0,,2377,A,SEN
292,2017,Serbia,88360.0,,2380,A,SRB
293,2017,Sierra Leone,72300.0,,2382,A,SLE
294,2017,Singapore,719.0000153,,2385,A,SGP
295,2017,Slovenia,20675.0,,2391,A,SVN
296,2017,South Africa,1219090.0,,2394,A,ZAF
297,2017,South Sudan,,,2395,A,SSD
298,2017,Spain,505935.0,,2398,A,ESP
299,2017,Sri Lanka,65610.0,,2401,A,LKA
300,2017,Sweden,447430.0,,2405,A,SWE
301,2017,Switzerland,41290.400389999995,,2407,A,CHE
302,2017,Tajikistan,141380.0,,2411,A,TJK
303,2017,Tanzania,947300.0,,2413,A,TZA
304,2017,Thailand,513120.0,,2416,A,THA
305,2017,Togo,56790.0,,2418,A,TGO
306,2017,Trinidad and Tobago,5130.0,,2420,A,TTO
307,2017,Tunisia,163610.0,,2422,A,TUN
308,2017,Turkey,785350.0,,2425,A,TUR
309,2017,Turkmenistan,488100.0,,2427,A,TKM
310,2017,Uganda,241550.0,,2429,A,UGA
311,2017,Ukraine,603550.0,,2432,A,UKR
312,2017,United Arab Emirates,83600.0,,2435,A,ARE
313,2017,United Kingdom,243610.0,,2438,A,GBR
314,2017,United States,9831510.0,,2441,A,USA
315,2017,Uruguay,176220.0,,2444,A,URY
316,2017,Uzbekistan,447400.0,,2447,A,UZB
317,2017,Vietnam,331230.0,,2453,A,VNM
318,2017,Zambia,752610.0,,2460,A,ZMB
319,2017,Zimbabwe,390760.0,,2462,A,ZWE
320,2017,Cote d'Ivoire,322460.0,,5143,A,CIV
321,2017,Angola,1246700.0,,5181,A,AGO
322,2017,Antigua and Barbuda,440.0,,5183,A,ATG
323,2017,Belize,22970.0,,5190,A,BLZ
324,2017,Bhutan,38393.999019999996,,5193,A,BTN
325,2017,Burundi,27830.0,,5201,A,BDI
326,2017,Cabo Verde,4030.0,,5215,A,CPV
327,2017,Comoros,1861.000061,,5233,A,COM
328,2017,Djibouti,23200.0,,5244,A,DJI
329,2017,Dominica,750.0,,5246,A,DMA
330,2017,Equatorial Guinea,28050.0,,5257,A,GNQ
331,2017,Eritrea,117600.0,,5259,A,ERI
332,2017,Fiji,18270.0,,5276,A,FJI
333,2017,"Gambia, The",11300.0,,5279,A,GMB
334,2017,Grenada,340.0,,5295,A,GRD
335,2017,Guinea-Bissau,36130.0,,5303,A,GNB
336,2017,Guyana,214970.0,,5305,A,GUY
337,2017,Jamaica,10990.0,,5324,A,JAM
338,2017,Kiribati,810.0,,5341,A,KIR
339,2017,Maldives,300.0,,5389,A,MDV
340,2017,Marshall Islands,180.0,,5403,A,MHL
341,2017,Palau,460.0,,5514,A,PLW
342,2017,Papua New Guinea,462840.0,,5517,A,PNG
343,2017,Samoa,2840.0,,5526,A,WSM
344,2017,Sao Tome and Principe,960.0,,5532,A,STP
345,2017,Seychelles,460.0,,5538,A,SYC
346,2017,Solomon Islands,28900.0,,5556,A,SLB
347,2017,Somalia,637660.0,,5561,A,SOM
348,2017,Sudan,,,5591,A,SDN
349,2017,Suriname,163820.0,,5593,A,SUR
350,2017,Timor-Leste,14870.0,,5612,A,TLS
351,2017,Tonga,750.0,,5615,A,TON
352,2017,Tuvalu,30.0,,5637,A,TUV
353,2017,Vanuatu,12190.0,,5657,A,VUT
354,2017,Iceland,103000.0,,14439,A,ISL
355,2017,American Samoa,200.0,,16204,A,ASM
356,2017,Andorra,470.0,,16235,A,AND
357,2017,Aruba,180.0,,16293,A,ABW
358,2017,"Bahamas, The",13880.0,,16324,A,BHM
359,2017,Barbados,430.0,,16327,A,BRB
360,2017,Bermuda,4290.0,,16358,A,BMU
361,2017,British Virgin Islands,150.0,,16389,A,VGB
362,2017,Cayman Islands,260.0,,16400,A,CYM
363,2017,Cuba,109880.0,,16492,A,CUB
364,2017,Curacao,444.0,,16524,A,CUW
365,2017,Faroe Islands,1396.000061,,16721,A,FRO
366,2017,French Polynesia,4000.0,,16725,A,PYF
367,2017,Gibraltar,10.0,,16786,A,GIB
368,2017,Greenland,410450.0,,16789,A,GRL
369,2017,Guam,540.0,,16791,A,GUM
370,2017,Isle of Man,570.0,,16838,A,IMN
371,2017,Liechtenstein,160.0,,16958,A,LIE
372,2017,Monaco,2.0,,17053,A,MCO
373,2017,New Caledonia,18580.0,,17083,A,NCL
374,2017,Northern Mariana Islands,460.0,,17120,A,MNP
375,2017,Oman,309500.0,,17123,A,OMN
376,2017,Puerto Rico,8870.0,,17136,A,PRI
377,2017,Qatar,11610.0,,17138,A,QAT
378,2017,San Marino,60.0,,17194,A,SMR
379,2017,Anguilla,,,18322,A,AIA
380,2017,Swaziland,,,18714,A,SWZ
381,2017,Brunei,,,18855,A,BRN
382,2017,Russia,,,34182,A,RUS
