Date,Arbitrage,CTA,Commodity,Distressed_Debt,Event_Driven,FOF,FX,ILS,Long_Short_Equity,Multi_Strategy,Relative_Value,UCITS
2013/2/28,0.010022871,0.010883408,0.00562037,0.006799626,0.004584025,0.008719079,0.012182953,0.011704885,0.00364073,0.0075257,0.008059032,0.005192847
2013/3/31,0.005269556,0.004281773,0.005243117,0.007042556,0.008081296,0.005762498,0.003898316,0.003857612,0.008290045,0.005988191,0.006390727,0.007535395
2013/4/30,0.012130292,0.012717505,0.010165252,0.012387477,0.013203447,0.012460913,0.011179872,0.0112245,0.013852415,0.013226553,0.012939186,0.015279704
2013/5/31,-0.016701143,-0.019888677,-0.017182172,-0.01514236,-0.01358365,-0.016173764,-0.017586873,-0.018208508,-0.013407581,-0.016845952,-0.015943519,-0.01641462
2013/6/30,-0.015595748,-0.016092992,-0.016864393,-0.016281251,-0.017463555,-0.016176178,-0.014981057,-0.015161332,-0.018163013,-0.017055126,-0.016484581,-0.018493752
2013/7/31,0.003880236,0.001929144,0.006758961,0.007985552,0.010847186,0.00543854,0.00079685,0.001061733,0.011883475,0.006415128,0.00643175,0.009687594
2013/8/31,-0.006769733,-0.005311901,-0.005983523,-0.009337779,-0.012031873,-0.007651482,-0.004661569,-0.004431608,-0.012861966,-0.008890511,-0.009083315,-0.012483835
2013/9/30,0.005712935,0.004991229,0.004679872,0.007681759,0.01067857,0.00682041,0.003576934,0.003480588,0.012110682,0.008408351,0.00804056,0.012423816
2013/10/31,0.011994598,0.011813426,0.011874431,0.012789953,0.01371671,0.012440735,0.011146376,0.01118413,0.014172292,0.012844985,0.012751614,0.014143489
2013/11/30,-0.000184,-0.001458576,0.000372219,0.000511966,0.001551489,0.000444965,-0.000811749,-0.000954269,0.002108546,0.000132126,0.000203838,0.000408696
2013/12/31,0.000979722,-6.90E-05,0.002102015,0.003252731,0.005171455,0.001919289,-0.000826984,-0.000750752,0.005932775,0.002666286,0.002612375,0.004961642
2014/1/31,0.011968314,0.014721693,0.010323492,0.009048595,0.005474857,0.010500184,0.014188847,0.014368755,0.004006302,0.009356906,0.009730511,0.006367688
2014/2/28,0.012089596,0.00978221,0.015269555,0.017899488,0.022670475,0.014370304,0.007637114,0.007878299,0.024420331,0.016459898,0.016309245,0.022382369
2014/3/31,0.002266731,0.0017015,0.002643964,0.003200995,0.005067599,0.002980023,0.001369222,0.001320828,0.006077391,0.003933331,0.003432124,0.005793792
2014/4/30,0.00658403,0.008032916,0.007756584,0.006276057,0.00532612,0.006464533,0.006782166,0.007196602,0.005144674,0.006508739,0.006176638,0.006035557
2014/5/31,0.010741941,0.010904168,0.010480897,0.010850801,0.011327665,0.010907333,0.010523025,0.010521659,0.011609296,0.011243152,0.011079197,0.011931435
