Date,Pure number,Signal
2008-05-12,0.7556,0.0
2008-05-16,0.3758,-1.0
2008-05-23,0.4511,-1.0
2008-05-30,0.3718,-1.0
2008-06-06,0.5397,-1.0
2008-06-13,0.4632,-1.0
2008-06-20,0.4099,-1.0
2008-06-27,0.4251,0.0
2008-07-03,0.4901,0.0
2008-07-04,0.4903,-1.0
2008-07-11,0.3883,-1.0
2008-07-18,0.4163,-1.0
2008-07-25,0.3738,-1.0
2008-08-01,0.3634,-1.0
2008-08-02,0.503,0.0
2008-08-08,0.3923,-1.0
2008-08-15,0.3771,-1.0
2008-08-22,0.3824,-1.0
2008-08-29,0.321,-1.0
2008-09-05,0.4411,-1.0
2008-09-12,0.4792,-1.0
2008-09-19,0.5553,-1.0
2008-09-26,0.5707,-1.0
2008-10-03,0.7071,-1.0
2008-10-10,0.7423,-1.0
2008-10-17,0.7153,-1.0
2008-10-24,0.7526,-1.0
2008-10-31,0.763,-1.0
2008-11-01,0.4133,-1.0
2008-11-04,0.4318,-1.0
2008-11-07,0.7698,-1.0
2008-11-14,0.7568,-1.0
2008-11-21,0.783,-1.0
2008-11-28,0.8043,-1.0
2008-12-05,0.7555,-1.0
2008-12-09,0.4804,-1.0
2008-12-12,0.8391,-1.0
2008-12-19,0.7765,-1.0
2008-12-26,0.4299,-1.0
2009-01-02,0.5448,-1.0
2009-01-05,0.6591,-1.0
2009-01-09,0.7353,-1.0
2009-01-16,0.793,-1.0
2009-01-23,0.7632,-1.0
2009-01-30,0.758,-1.0
2009-02-01,0.5447,-1.0
2009-02-06,0.7232,-1.0
2009-02-10,0.4258,-1.0
2009-02-13,0.6689,-1.0
2009-02-20,0.7699,-1.0
2009-02-27,0.776,-1.0
2009-03-04,0.7637,-1.0
2009-03-06,0.7943,-1.0
2009-03-07,0.6186,-1.0
2009-03-13,0.7532,-1.0
2009-03-20,0.7531,-1.0
2009-03-27,0.7892,-1.0
2009-04-03,0.7638,-1.0
2009-04-09,0.3672,-1.0
2009-04-10,0.5898,-1.0
2009-04-12,0.3829,-1.0
2009-04-17,0.6916,-1.0
2009-04-24,0.6729,-1.0
2009-05-01,0.659,-1.0
2009-05-06,0.6319,-1.0
2009-05-08,0.7221,-1.0
2009-05-15,0.6151,-1.0
2009-05-22,0.5636,-1.0
2009-05-29,0.4304,-1.0
2009-06-02,0.7231,-1.0
2009-06-03,0.7943,-1.0
2009-06-05,0.6319,-1.0
2009-06-11,0.4036,-1.0
2009-06-12,0.5525,-1.0
2009-06-19,0.6716,-1.0
2009-06-26,0.6568,-1.0
2009-07-03,0.6187,-1.0
2009-07-08,0.5201,-1.0
2009-07-10,0.6,-1.0
2009-07-17,0.5929,-1.0
2009-07-24,0.5197,-1.0
2009-07-31,0.5569,-1.0
2009-08-05,0.7219,-1.0
2009-08-07,0.5202,-1.0
2009-08-14,0.4992,-1.0
2009-08-21,0.4884,-1.0
2009-08-28,0.4043,-1.0
2009-09-01,0.7354,-1.0
2009-09-04,0.3672,-1.0
2009-09-10,0.451,-1.0
2009-09-11,0.4627,-1.0
2009-09-18,0.3126,-1.0
2009-09-25,0.3878,-1.0
2009-10-02,0.426,-1.0
2009-10-04,0.5897,-1.0
2009-10-07,0.5998,-1.0
